[TRACE] 2015-08-07 16:39:07,125 Thread:1 --- 355;PRE_BHL_HEAD有效性检查;2015-08-07 16:39:7;2015-08-07 16:39:7;47;false;false
[TRACE] 2015-08-07 16:39:07,333 Thread:1 --- 356;BHL_HEAD有效性检查;2015-08-07 16:39:7;2015-08-07 16:39:7;0;false;false
[TRACE] 2015-08-07 16:39:07,482 Thread:1 --- 357;派单工作表有效性检查;2015-08-07 16:39:7;2015-08-07 16:39:7;1;false;false
[TRACE] 2015-08-07 16:39:07,639 Thread:1 --- 358;环节号与转入转出类型匹配;2015-08-07 16:39:7;2015-08-07 16:39:7;4;false;false
[TRACE] 2015-08-07 16:39:07,785 Thread:1 --- 359;申报类型合法性检查;2015-08-07 16:39:7;2015-08-07 16:39:7;0;false;false
[TRACE] 2015-08-07 16:39:09,721 Thread:1 --- 368;PRE_BHL_LIST_IM有效性检查;2015-08-07 16:39:9;2015-08-07 16:39:9;1;false;false
[TRACE] 2015-08-07 16:39:10,009 Thread:1 --- 370;BHL_LIST_COLL有效性检查;2015-08-07 16:39:10;2015-08-07 16:39:10;1;false;false
[TRACE] 2015-08-07 16:39:11,688 Thread:1 --- 378;PRE_BHL_LIST_IM转入有效性检查;2015-08-07 16:39:11;2015-08-07 16:39:11;1;false;false
[TRACE] 2015-08-07 16:39:11,854 Thread:1 --- 377;PRE_BHL_LIST有效性检查;2015-08-07 16:39:11;2015-08-07 16:39:11;0;false;false
[TRACE] 2015-08-07 16:39:12,109 Thread:1 --- 380;BHL_LIST_COLL有效性检查;2015-08-07 16:39:12;2015-08-07 16:39:12;1;false;false
[TRACE] 2015-08-07 16:39:12,253 Thread:1 --- 421;BHL_LIST_IM转入有效性检查;2015-08-07 16:39:12;2015-08-07 16:39:12;0;false;false
[TRACE] 2015-08-07 16:39:12,380 Thread:1 --- 425;BHL_LIST_EX转出有效性检查;2015-08-07 16:39:12;2015-08-07 16:39:12;1;false;false
[TRACE] 2015-08-07 16:39:12,776 Thread:1 --- 423;暂停状态检查;2015-08-07 16:39:12;2015-08-07 16:39:12;1;false;false
[TRACE] 2015-08-07 16:39:12,905 Thread:1 --- 424;未开始执行状态检查;2015-08-07 16:39:12;2015-08-07 16:39:12;1;false;false
[TRACE] 2015-08-07 16:39:13,873 Thread:1 --- 22;流转申请表编号未填写;2015-08-07 16:39:13;2015-08-07 16:39:13;1;false;false
[TRACE] 2015-08-07 16:39:14,005 Thread:1 --- 23;申报统一编号未填写;2015-08-07 16:39:14;2015-08-07 16:39:14;0;true;false
